"","CentroidX","CentroidY","Mass","Width","Depth","Orientation0","Orientation1","Orientation2","Orientation3","Orientation4","Orientation5","Orientation6","Orientation7","Orientation8","Orientation9","Leaf.weight","LeafArea","Leaf.Hue"
"mean",159.032395424586,239.10667340953,0.349743618454039,218.282438368802,527.521834066667,0.241884884899433,0.183577126256303,0.125053041997211,0.0850361615509066,0.0670584988788732,0.0504381805287517,0.0520727881180556,0.0562529034725738,0.0638333346256983,0.0743341619777778,0.0282108626198083,9836.6201800211,61.7606097618513
"median",158.4238314,242.56175625,0.3463810565,219.9895528,478.85831585,0.2491598705,0.1839605305,0.124728818,0.082213272,0.065516079,0.050427745,0.0517489765,0.055105468,0.0617528085,0.0699961845,0.0282108626198083,10010.34922,61.7606097618513
"min",110.3001042,154.0731417,0.1316,138.0912337,328.6874215,0.150085676,0.149263406,0.105141912,0.072157606,0.057501859,0.043237501,0.043753744,0.043725419,0.045384442,0.049406592,0.01,6629.747971,49.49600122
"max",218.1901549,301.0646561,0.5484,276.0645592,720.3505396,0.317740381,0.216980693,0.160313255,0.123009023,0.088841486,0.060698312,0.064907948,0.07353907,0.09152908,0.121500687,0.05,14394.75091,71.37876598
"Range",107.8900507,301.0646561,0.5484,276.0645592,720.3505396,0.317740381,0.216980693,0.160313255,0.123009023,0.088841486,0.060698312,0.064907948,0.07353907,0.09152908,0.121500687,0.05,14394.75091,71.37876598
"IQR",28.6968,52.28742635,0.08152088,40.915513375,269.78428465,0.0697274944999999,0.01451506725,0.019935493,0.013447464,0.00983519025,0.00463808675000001,0.00543592125,0.00613739625,0.012582903,0.0174872835,0,1294.286044,5.71814493999999
"var",461.767914345689,1120.2050189335,0.00389644574955932,835.046764070665,15431.5993203372,0.00175209570571223,0.000198441405933305,0.000150631785643722,0.000111926984850719,4.49368921858857e-05,1.92165483249274e-05,1.97766803462007e-05,3.41875193718149e-05,8.67883861529561e-05,0.000224680717650114,8.68576529282056e-05,2222893.93472786,17.732425818148
"sd",21.4887857810926,33.4694639773853,0.062421516719472,28.8971757109698,124.223988505993,0.041858042306255,0.0140869232245123,0.0122732141529317,0.0105795550402991,0.00670349850345964,0.00438366836393076,0.00444709796903561,0.005847009438321,0.00931602845385071,0.0149893534767219,0.00931974532528682,1490.93726720069,4.21098869841133
"n_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
