"","CentroidX","CentroidY","Mass","Width","Depth","Orientation0","Orientation1","Orientation2","Orientation3","Orientation4","Orientation5","Orientation6","Orientation7","Orientation8","Orientation9","Leaf.weight","LeafArea","Leaf.Hue"
"mean",159.032395424586,239.10667340953,0.349709681285912,218.297318676934,527.25074551989,0.24206789310221,0.183582913165746,0.12504954211326,0.0850080696367403,0.0670276276146409,0.050437255320442,0.0520709552665746,0.0562312430220994,0.0638098332651934,0.0743098487596685,0.0292265193370166,9840.26318007597,61.7617843409116
"median",158.4238314,242.56175625,0.3456485335,220.07799555,478.4548071,0.2492458815,0.1839960985,0.124691054,0.082130655,0.0654620135,0.050377285,0.051741042,0.055046583,0.0617064615,0.0699334695,0.03,10039.50726,61.83791842
"min",110.3001042,154.0731417,0.1316,138.0912337,328.6874215,0.150085676,0.149263406,0.105141912,0.072157606,0.057501859,0.043237501,0.043753744,0.043725419,0.045384442,0.049406592,0.01,6629.747971,49.49600122
"max",218.1901549,301.0646561,0.5484,276.0645592,720.3505396,0.317740381,0.216980693,0.160313255,0.123009023,0.088841486,0.060698312,0.064907948,0.07353907,0.09152908,0.121500687,0.05,14394.75091,71.37876598
"Range",107.8900507,301.0646561,0.5484,276.0645592,720.3505396,0.317740381,0.216980693,0.160313255,0.123009023,0.088841486,0.060698312,0.064907948,0.07353907,0.09152908,0.121500687,0.05,14394.75091,71.37876598
"IQR",28.6968,52.28742635,0.08152088,40.915513375,269.78428465,0.0697274944999999,0.01451506725,0.019935493,0.013447464,0.00983519025,0.00463808675000001,0.00543592125,0.00613739625,0.012582903,0.0174872835,0,1294.286044,5.71814493999999
"var",461.767914345689,1120.2050189335,0.00389658376404226,835.073297739933,15444.8456363887,0.00175341115338514,0.000198443800306563,0.000150633042045879,0.000112007928736662,4.49852915228176e-05,1.9216603886709e-05,1.97772858645712e-05,3.42132151329353e-05,8.68378866218993e-05,0.000224787268683518,8.76443303301926e-05,2223620.7848586,17.7325153673298
"sd",21.4887857810926,33.4694639773853,0.0624226222137637,28.8976348122114,124.277293325807,0.0418737525591526,0.0140870082099274,0.0122732653375489,0.0105833798352257,0.00670710753774066,0.0043836747012876,0.0044471660486844,0.00584920636778489,0.00931868481181219,0.0149929072792277,0.00936185506885215,1491.18100338577,4.2109993311956
"n_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
