"","CentroidX","CentroidY","Mass","Width","Depth","Orientation0","Orientation1","Orientation2","Orientation3","Orientation4","Orientation5","Orientation6","Orientation7","Orientation8","Orientation9","Leaf.weight","LeafArea","Leaf.Hue"
"mean",159.032395424586,239.10667340953,0.346845190676796,216.473467885083,524.60734879558,0.235871172291436,0.181041530589779,0.123843965624309,0.084213988718232,0.0657617875745856,0.0496718545814917,0.0517850931560773,0.0552428375262431,0.0631279939116022,0.073923476,0.0121961325966851,9659.99578452348,60.8222579560774
"median",158.4238314,242.56175625,0.344353045,219.9895528,478.4170182,0.2491598705,0.1839605305,0.124673538,0.08211157,0.0654125295,0.050255733,0.0517325935,0.0550191105,0.06166733,0.069917522,0,10010.34922,61.649802095
"min",110.3001042,154.0731417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",218.1901549,301.0646561,0.5484,276.0645592,720.3505396,0.317740381,0.216980693,0.160313255,0.123009023,0.088841486,0.060698312,0.064907948,0.07353907,0.09152908,0.121500687,0.05,14394.75091,71.37876598
"Range",107.8900507,301.0646561,0.5484,276.0645592,720.3505396,0.317740381,0.216980693,0.160313255,0.123009023,0.088841486,0.060698312,0.064907948,0.07353907,0.09152908,0.121500687,0.05,14394.75091,71.37876598
"IQR",28.6968,52.28742635,0.084622607,41.943550775,270.618238875,0.0724370947499999,0.01750227525,0.0200059845,0.013571254,0.01000593475,0.00482933899999999,0.005453276,0.0062492045,0.0135284065,0.01779007225,0.02,1470.46867725,5.9775267425
"var",461.767914345689,1120.2050189335,0.00490314194898408,1227.18250193047,16962.6744561684,0.00317251905909336,0.000658124447685921,0.000300575703265057,0.000181261204002073,0.00013032889027275,5.73340277915539e-05,3.46955969912363e-05,9.00636052499516e-05,0.000131376716549729,0.000255082043453402,0.000282445572850997,3931444.72746439,74.8840400962385
"sd",21.4887857810926,33.4694639773853,0.0700224388962858,35.0311647241491,130.240832522556,0.05632511925503,0.0256539363000285,0.0173371192320136,0.0134633281175968,0.0114161679329252,0.00757192365198923,0.00589029685085873,0.00949018467944389,0.0114619682668261,0.0159712880962495,0.0168061171259454,1982.78711097899,8.65355649985822
"n_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
